site_weather_collection_time,site_date,site_name,site_location,site_co_ordinate_longitude,site_co_ordinate_latitude,site_id,site_weather_id,site_main_temp,site_main_pressure,site_main_humidity,site_main_temp_min,site_main_temp_max,site_wind_speed,site_wind_deg,site_clouds_all,site_sys_id,site_sys_message,site_sys_sunrise,site_sys_sunset,site_weather_description,site_weather_main,site_weather_icon
1560589044,6/15/2019,ADNOC-AD06DIYINA,United Arab Emirates,53,24,290557,803,33.75,999.08,64,33.75,33.75,5.16,282.484,65,,0.0042,1560562639,1560611756,broken clouds,Clouds,04d
1560585441,6/15/2019,ADNOC-AD06DIYINA,United Arab Emirates,53,24,290557,803,33.75,999.08,64,33.75,33.75,5.16,282.484,65,,0.0047,1560562639,1560611756,broken clouds,Clouds,04d
1560585396,6/15/2019,ADMAOPCO-Site10GU231Rig03,Ar Ruways,53,24,292688,803,33.75,999.08,64,33.75,33.75,5.16,282.484,65,,0.0047,1560562681,1560611801,broken clouds,Clouds,04d
1560588995,6/15/2019,ADMAOPCO-Site10GU231Rig03,Ar Ruways,53,24,292688,803,33.75,999.08,64,33.75,33.75,5.16,282.484,65,,0.0051,1560562681,1560611801,broken clouds,Clouds,04d
1560909570,6/19/2019,ADNOC-AD63,United Arab Emirates,53,24,290557,803,34.05,997.57,60,34.05,34.05,9.12,318.192,65,,0.006,1560908221,1560957303,broken clouds,Clouds,04d
1560913170,6/19/2019,ADNOC-AD63,United Arab Emirates,53,24,290557,803,34.05,997.57,60,34.05,34.05,9.12,318.192,65,,0.0061,1560908221,1560957303,broken clouds,Clouds,04d
1560916771,6/19/2019,ADNOC-AD63,United Arab Emirates,53,24,290557,803,34.05,997.57,60,34.05,34.05,9.12,318.192,65,,0.0064,1560908221,1560957303,broken clouds,Clouds,04d
1560502589,6/14/2019,ADMAOPCO-Site04QARNINRig04,Abu Dhabi,54,24,292968,803,39,999,45,39,39,2.1,NULL,65,7533,0.0048,1560476050,1560525258,broken clouds,Clouds,04d
1560502589,6/14/2019,ADMAOPCO-Site09GU232Rig04,Abu Dhabi,54,24,292968,803,39,999,45,39,39,2.1,NULL,65,7533,0.0048,1560476050,1560525258,broken clouds,Clouds,04d
1560506189,6/14/2019,ADMAOPCO-Site04QARNINRig04,Abu Dhabi,54,24,292968,803,39,998,48,39,39,2.6,250,65,7533,0.0043,1560476050,1560525258,broken clouds,Clouds,04d
1560506189,6/14/2019,ADMAOPCO-Site09GU232Rig04,Abu Dhabi,54,24,292968,803,39,998,48,39,39,2.6,250,65,7533,0.0043,1560476050,1560525258,broken clouds,Clouds,04d
1560498989,6/14/2019,ADMAOPCO-Site04QARNINRig04,Abu Dhabi,54,24,292968,803,37,999,53,37,37,2.6,250,65,7533,0.0049,1560476050,1560525258,broken clouds,Clouds,04d
1560498989,6/14/2019,ADMAOPCO-Site09GU232Rig04,Abu Dhabi,54,24,292968,803,37,999,53,37,37,2.6,250,65,7533,0.0049,1560476050,1560525258,broken clouds,Clouds,04d
1560884193,6/18/2019,ADMAOPCO-Site11GU233Rig05,Ar Ruways,52,25,292688,803,34.09,998.87,61,34.09,34.09,10.81,319.082,65,,0.0055,1560821928,1560871204,broken clouds,Clouds,04n
1560876993,6/18/2019,ADMAOPCO-Site11GU233Rig05,Ar Ruways,52,25,292688,803,34.09,998.87,61,34.09,34.09,10.81,319.082,65,,0.0059,1560821928,1560871204,broken clouds,Clouds,04n
1560880593,6/18/2019,ADMAOPCO-Site11GU233Rig05,Ar Ruways,52,25,292688,803,34.09,998.87,61,34.09,34.09,10.81,319.082,65,,0.0069,1560821928,1560871204,broken clouds,Clouds,04n
1560884203,6/18/2019,ADMAOPCO-Site15ShwehatRig07,Ar Ruways,52,25,292688,803,34.09,998.87,61,34.09,34.09,10.81,319.082,65,,0.0055,1560821902,1560871206,broken clouds,Clouds,04n
1560880602,6/18/2019,ADMAOPCO-Site15ShwehatRig07,Ar Ruways,52,25,292688,803,34.09,998.87,61,34.09,34.09,10.81,319.082,65,,0.0058,1560821902,1560871206,broken clouds,Clouds,04n
1560877003,6/18/2019,ADMAOPCO-Site15ShwehatRig07,Ar Ruways,52,25,292688,803,34.09,998.87,61,34.09,34.09,10.81,319.082,65,,0.006,1560821902,1560871206,broken clouds,Clouds,04n
1560769027,6/17/2019,ADMAOPCO-Site24SciroccoBarge,Ar Ruways,53,25,292688,803,33.64,998.26,74,33.64,33.64,7.43,304.246,65,,0.0051,1560735423,1560784769,broken clouds,Clouds,04d
1560769142,6/17/2019,ADNOC-AD35ALHAIL,Abu Dhabi,53,25,292968,803,33.64,998.26,74,33.64,33.64,7.43,304.246,65,,0.0053,1560735351,1560784702,broken clouds,Clouds,04d
1560877021,6/18/2019,ADMAOPCO-Site24SciroccoBarge,Ar Ruways,53,25,292688,803,34.99,997.45,54,34.99,34.99,13.22,311.436,65,,0.0057,1560821832,1560871185,broken clouds,Clouds,04n
1560880620,6/18/2019,ADMAOPCO-Site24SciroccoBarge,Ar Ruways,53,25,292688,803,34.99,997.45,54,34.99,34.99,13.22,311.436,65,,0.0088,1560821832,1560871185,broken clouds,Clouds,04n
1560884221,6/18/2019,ADMAOPCO-Site24SciroccoBarge,Ar Ruways,53,25,292688,803,34.99,997.45,54,34.99,34.99,13.22,311.436,65,,0.0131,1560821832,1560871185,broken clouds,Clouds,04n
1560880734,6/18/2019,ADNOC-AD35ALHAIL,Abu Dhabi,53,25,292968,803,34.99,997.45,54,34.99,34.99,13.22,311.436,65,,0.0047,1560821759,1560871118,broken clouds,Clouds,04n
1560877135,6/18/2019,ADNOC-AD35ALHAIL,Abu Dhabi,53,25,292968,803,34.99,997.45,54,34.99,34.99,13.22,311.436,65,,0.006,1560821759,1560871118,broken clouds,Clouds,04n
1560884338,6/18/2019,ADNOC-AD35ALHAIL,Abu Dhabi,53,25,292968,803,34.99,997.45,54,34.99,34.99,13.22,311.436,65,,0.0069,1560821759,1560871118,broken clouds,Clouds,04n
1560920221,6/19/2019,ADMAOPCO-Site24SciroccoBarge,Ar Ruways,53,25,292688,803,33.64,997.31,60,33.64,33.64,11.51,305.65,65,,0.0063,1560908241,1560957600,broken clouds,Clouds,04d
1560923821,6/19/2019,ADMAOPCO-Site24SciroccoBarge,Ar Ruways,53,25,292688,803,33.64,997.31,60,33.64,33.64,11.51,305.65,65,,0.0063,1560908241,1560957600,broken clouds,Clouds,04d
